Interval	L	M	S	Delta	-3 SD	-2 SD	-1 SD	Median	1 SD	2 SD	3 SD
0 – 4 wks	0.7781	1279.4834	0.21479	400	123	358	611	879	1161	1453	1757
4 wks – 2 mo	0.7781	1411.1075	0.19384	400	251	490	744	1011	1290	1580	1880
2 – 3 mo	0.7781	1118.0098	0.19766	400	105	297	502	718	944	1178	1421
3 – 4 mo	0.7781	984.8825	0.20995	400	14	192	383	585	796	1016	1244
4 – 5 mo	0.7781	888.9803	0.22671	400	-62	108	293	489	695	911	1134
5 – 6 mo	0.7781	801.391	0.24596	400	-132	31	210	401	604	815	1036
6 – 7 mo	0.7781	744.3023	0.26515	400	-185	-24	153	344	547	760	982
7 – 8 mo	0.7781	710.6923	0.28409	400	-224	-64	116	311	519	738	967
8 – 9 mo	0.7781	672.6072	0.30106	400	-259	-101	77	273	482	702	933
9 – 10 mo	0.7781	644.6032	0.31676	400	-286	-131	48	245	456	679	913
10 – 11 mo	0.7781	633.2166	0.33208	400	-307	-151	31	233	451	682	924
11 – 12 mo	0.7781	631.7383	0.34627	400	-324	-166	22	232	458	699	953
