Interval	L	M	S	Delta	1st	3rd	5th	15th	25th	50th	75th	85th 	95th	97th	99th
0-2 mo	0.7188	2815.612	0.17422	600	1144	1338	1443	1720	1890	2216	2552	2737	3054	3179	3418
1-3 mo	0.6464	2592.0761	0.17025	600	1040	1211	1303	1549	1701	1992	2296	2463	2753	2868	3088
2-4 mo	0.6071	2038.1036	0.17559	600	675	810	884	1081	1202	1438	1685	1822	2059	2154	2336
3-5 mo	0.5915	1744.8197	0.18708	600	455	576	642	820	930	1145	1371	1496	1715	1802	1970
4-6 mo	0.5891	1541.367	0.2013	600	291	404	466	634	738	941	1156	1277	1486	1569	1731
5-7 mo	0.5954	1377.6979	0.21318	600	165	271	330	487	585	778	982	1096	1294	1374	1528
6-8 mo	0.6088	1272.5277	0.22426	600	79	182	238	390	486	673	871	982	1175	1252	1402
7-9 mo	0.627	1201.4599	0.23472	600	16	117	172	323	417	601	797	907	1098	1174	1322
8-10 mo	0.6486	1143.8903	0.24611	600	-41	60	115	266	360	544	739	848	1039	1115	1261
9-11 mo	0.6725	1101.6312	0.25918	600	-92	10	67	219	315	502	700	810	1003	1079	1227
10-12 mo	0.6959	1077.9049	0.27217	600	-132	-28	30	187	286	478	681	795	992	1070	1221
11-13 mo	0.7191	1057.9071	0.28462	600	-169	-62	-2	159	260	458	666	782	984	1064	1218
12-14 mo	0.7399	1037.0541	0.29479	600	-202	-92	-31	133	236	437	648	766	969	1050	1206
13-15 mo	0.7597	1014.185	0.30285	600	-230	-119	-58	109	212	414	626	744	947	1028	1183
14-16 mo	0.7771	1000.5821	0.30864	600	-250	-138	-75	93	197	401	614	731	935	1016	1170
15-17 mo	0.7929	999.4661	0.3129	600	-262	-148	-84	87	193	399	615	734	939	1020	1176
16-18 mo	0.8078	1000.968	0.31615	600	-272	-155	-90	84	192	401	619	739	945	1027	1183
17-19 mo	0.821	998.4215	0.31858	600	-281	-162	-97	79	188	398	617	737	944	1025	1181
18-20 mo	0.8335	992.804	0.32058	600	-291	-170	-104	73	182	393	611	731	937	1018	1173
19-21 mo	0.8447	986.9799	0.32222	600	-299	-178	-111	67	176	387	605	725	929	1010	1164
20-22 mo	0.8554	981.7965	0.32377	600	-307	-185	-118	61	171	382	599	719	923	1003	1156
21-23 mo	0.8655	978.4016	0.32529	600	-314	-191	-123	57	167	378	596	715	919	999	1151
22-24 mo	0.8748	976.3696	0.32673	600	-320	-196	-128	53	164	376	594	713	917	997	1149
