Interval	L	M	S	Delta	1st	3rd	5th	15th	25th	50th	75th	85th 	95th	97th	99th
0 – 4 wks	0.7781	1279.4834	0.21479	400	280	388	446	602	697	879	1068	1171	1348	1418	1551
4 wks – 2 mo	0.7781	1411.1075	0.19384	400	410	519	578	734	829	1011	1198	1301	1476	1545	1677
2 – 3 mo	0.7781	1118.0098	0.19766	400	233	321	369	494	571	718	869	952	1094	1150	1256
3 – 4 mo	0.7781	984.8825	0.20995	400	133	214	259	376	448	585	726	804	937	990	1090
4 – 5 mo	0.7781	888.9803	0.22671	400	51	130	172	286	355	489	627	703	833	885	983
5 – 6 mo	0.7781	801.391	0.24596	400	-24	52	93	203	271	401	537	611	739	790	886
6 – 7 mo	0.7781	744.3023	0.26515	400	-79	-4	37	146	214	344	480	555	684	734	832
7 – 8 mo	0.7781	710.6923	0.28409	400	-119	-44	-2	109	178	311	450	526	659	711	811
8 – 9 mo	0.7781	672.6072	0.30106	400	-155	-81	-40	70	139	273	412	489	623	675	776
9 – 10 mo	0.7781	644.6032	0.31676	400	-184	-110	-70	41	110	245	385	464	598	652	754
10 – 11 mo	0.7781	633.2166	0.33208	400	-206	-131	-89	24	95	233	378	459	598	653	759
11 – 12 mo	0.7781	631.7383	0.34627	400	-222	-145	-102	15	88	232	383	467	612	670	781
